id,title,slug,entities,category
12448,Covid-19 Lockdown: Lira pastor remanded for drinking beer in church,covid-19-lockdown-lira-pastor-remanded-for-drinking-beer-in-church,"[""Kwania"",""Lira Municipality"",""Lira District"",""Uganda"",""Pentecostal"",""CoLira"",""Pastor"",""Apac District""]",Law
12450,Locust invasion: Uganda gets Shs2.8b for insecticides,locust-invasion-uganda-gets-shs-2-8-b-for-insecticides,"[""Uganda"",""Food and Agriculture Organisation"",""Kitgum"",""FAO"",""Pius Wakabi Kasajja"",""Nairobi"",""Fenitrothion"",""Japan"",""Kenya"",""Ministry of agriculture"",""ULV"",""PS"",""Teso"",""Abim"",""Amudat"",""Nakapiripirit"",""Karamoja"",""Kaabong"",""Bright Rwamirama"",""Daily Monitor"",""Nabilatuk"",""Katakwi"",""Ultra Low Volume"",""Ministry of Agriculture Animal Industry and Fisheries"",""Kampala"",""Soroti"",""Moroto"",""Agago""]",Wildlife and Nature
12455,Rwanda terminates prosecution of 17 Ugandans,rwanda-terminates-prosecution-of-17-ugandans,"[""Rwanda"",""Ugandan citiZ"",""Ugandan""]",Law
12456,Minority absent from chamber as Akufo-Addo delivers SONA 2020,minority-absent-from-chamber-as-akufo-addo-delivers-sona-2020,"[""State of the Nation Address"",""Abena Osei Asare"",""Nana Akufo-Addo"",""Sampson Ahi"",""District Assembly s"",""Common Fund"",""Parliament"",""MPs""]",Politics
12457,Akufo-Addo renews commitment to fight illegal mining,akufo-addo-renews-commitment-to-fight-illegal-mining,"[""Parliament"",""Nana Addo Dankwa Akufo-Addo"",""State of the Nation Address"",""Ghana"",""Inter"",""Committee against Illegal Mining"",""NDC"",""Committee against Illegal  Mining"",""Akufo Addrenews"",""Akufo-Addo""]",Politics
12459,Akufo Addo gears up to file nomination,akufo-addo-gears-up-to-file-nomination,"[""Akufo-Addo"",""New Patriotic Party"",""NPP"",""Accra"",""Akufo Addo""]",Politics
12460,Rawlings booed by NPP Mp’s as President delivers State of the Nation Address,rawlings-booed-by-npp-mps-as-president-delivers-state-of-the-nation-address,"[""Rawlings"",""NPP Mp s""]",Politics
12461,2 passengers on board Diamond Princess cruise ship in Japan die due to Coronavirus,2-passengers-on-board-diamond-princess-cruise-ship-in-japan-die-due-to-coronavirus,"[""Pakistan Super League"",""Sri Lanka"",""National Cricket Academy"",""Pakistan Cricket Board"",""Lahore"",""Abdul Razzak"",""Pakistan"",""Umar Akmal""]",Health
12462,President urges police to work on their reputation,president-urges-police-to-work-on-their-reputation,"[""Ghana Police Service"",""Ghanaians"",""State of the Nation Address"",""Nana Addo Dankwa Akufo-Addo"",""Parliament"",""Afrobarometre"",""CDD""]",Other
12463,Seven suspected robbers shot dead by police in Kajiado,seven-suspected-robbers-shot-dead-by-police-in-kajiado,"[""Kajiado county"",""Nairobi"",""Baetrice Gachago""]",Law
12464,SONA 2020: We only walked out - Minority explains their action,sona-2020-we-only-walked-out-minority-explains-their-action,"[""the Fourth Republic"",""SONA"",""Nana Addo Dankwa Akufo-Addo"",""Haruna Iddrisu"",""Ghana"",""Parliament"",""NPP"",""Mahama"",""Osei Kyei-Mensah-Bonsu"",""Ghanaians"",""Thomas Jefferson"",""Ahmed Hussain-Suale"",""NDC"",""Constitution of Ghana"",""Emile Short Commission"",""Electoral Commission"",""Madam Charlotte Osei"",""Gestapo"",""Takoradi"",""Ghana Trade Fair Site"",""Republican"",""Voters Register"",""SWAT"",""Jean Mensah led"",""Civil Society Organisations and Political Parties"",""the US State Department"",""Akufo Addo s"",""Government"",""Radio"",""Radio Gold and Radio XYZ"",""Radio Tongu"",""Fox FM"",""National Security"",""Raymond Archer"",""House""]",Politics
12465,"Operation Vanguard arrests five NPP,NDC supporters; investigates MPs behind illegal mining",operation-vanguard-arrests-five-npp-ndc-supporters-investigates-m-ps-behind-illegal-mining,"[""MPs"",""NPP"",""NDC""]",Other
12466,Coronavirus: Hong Kong school closures cripple bus companies,coronavirus-hong-kong-school-closures-cripple-bus-companies,"[""the Motor Transport Workers General Union"",""Tam Wai chiu"",""KS Lo College"",""Teddy Tang Chun keung"",""Rachel Tong Chung yee"",""Tin Shui Wai"",""Tin Shui Wai Methodist Primary School"",""Education Bureau"",""United"",""Hong Kong""]",Health
12468,Adequate measures put in place for Ghanaian students – Chinese Ambassador assures,adequate-measures-put-in-place-for-ghanaian-students-chinese-ambassador-assures,"[""Chinese"",""Ghanaian""]",Other
12469,Kenyans risk losing Sh809 billion arising from ongoing legal suits and arbitrations,kenyans-risk-losing-sh-809-billion-arising-from-ongoing-legal-suits-and-arbitrations,"[""Jennifer Shamallah"",""Parliament"",""Kennedy Ogeto"",""the Justice and Legal Affairs Committee"",""AG"",""Tharaka MP"",""State"",""George Murugara"",""Government""]",Law
12471,Mahama wants to reverse Ghana’s development- Akufo Addo accuses,mahama-wants-to-reverse-ghanas-development-akufo-addo-accuses,"[""Nana Akufo-Addo"",""Ghana"",""Akufo Addo"",""John Dramani Mahama"",""Ghanaians"",""NDC"",""NPP"",""Nana"",""the New Patriotic Party s""]",Politics
12472,Sam George accuses Akufo-Addo of unreasonable arbitrary use of power and control,sam-george-accuses-akufo-addo-of-unreasonable-arbitrary-use-of-power-and-control,"[""Haruna Iddrisu"",""Parliament"",""Ghanaian"",""Bible"",""Electoral Commission"",""NPP"",""John Dramani Mahama"",""Minority"",""the National Democratic Congress"",""Ayawaso West Wuogon"",""Emile Short Commission"",""Ningo Prampram"",""Majority"",""NDC"",""Sam Nartey George"",""Nana Addo Dankwa Akufo-Addo"",""Akufo-Addo"",""Sam George""]",Politics
12473,Defunct savings and loans companies don’t believe Akufo-Addo’s promise,defunct-savings-and-loans-companies-dont-believe-akufo-addos-promise,"[""Citi News"",""Eric Nipah"",""Akufo-Addo"",""Akufo Addo s"",""Nana Addo Dankwa Akufo-Addo"",""Bank of Ghana"",""State of the Nation Address"",""GH   billion"",""Parliament"",""DKM"",""Kofi Sarpong""]",Business
12475,Clients of defunct savings and loans companies don’t believe Akufo-Addo’s promise,clients-of-defunct-savings-and-loans-companies-dont-believe-akufo-addos-promise,"[""Akufo Addo s"",""Akufo-Addo"",""Nana Addo Dankwa Akufo-Addo"",""Bank of Ghana"",""State of the Nation Address"",""GH   billion"",""Parliament"",""DKM"",""Kofi Sarpong"",""Citi News"",""Eric Nipah""]",Business
12476,"Stress, rumors, even violence: Virus fear goes viral",stress-rumors-even-violence-virus-fear-goes-viral,"[""Tehran"",""US"",""Iran"",""US Army"",""Iraq"",""al Asad"",""Kimo Keltz"",""Reuters"",""Anbar"",""China"",""Wuhan"",""Chinese"",""Seoul"",""Tokyo"",""South Korean"",""Taiwan"",""Taipei"",""Bernie Huang"",""Asia"",""Beijing"",""Barcelona"",""Boston"",""Japan"",""East Asian"",""Ukraine""]",Technology
12477,Minister rates galamsey fight 70% successful,minister-rates-galamsey-fight-70-successful,"[""Kwabena Frimpong-Boateng"",""Akufo-Addo"",""State of the Nation Address"",""Akufo Addo s"",""Parliament""]",Other
12478,BoG launches real-time platform for interbank forex trading,bo-g-launches-real-time-platform-for-interbank-forex-trading,"[""BoG"",""Bank of Ghana"",""Ernest Addison"",""Accra"",""US"",""the Refinitiv Matching Platform"",""the Bulk Oil Distribution Companies"",""Steve Opata""]",Business
12479,Fake dollar syndicate busted in Accra,fake-dollar-syndicate-busted-in-accra,"[""Haidor Ibrahim"",""Accra"",""Yemenis"",""Ghana"",""Free Zones"",""KIA"",""Muammar Al Gaddafi"",""Kotoka International Airport"",""Libyans"",""Spintex"",""Nigeria"",""Niger"",""Syria"",""Mali"",""Sudan"",""Republic of Niger"",""Customs"",""Lebanese"",""West Africa"",""Ghana Police Service"",""Khalifa Mohammed"",""Tiger Eye PI"",""Sanousi Khalifa Mohamed"",""Libya"",""Devtraco"",""Yemen"",""Togo"",""HAIDOR IBRAHIM"",""EL KLINK"",""EL KLINK MUSTAPHA"",""United States Dollars"",""Fifty Thousand United States Dollars"",""Khalifa Sanousi Mohamed"",""One Hundred Thousand United States Dollars"",""Forty Thousand United States Dollars"",""GREENWHICH SHIPPING LTD"",""ABDULAI ESQ""]",Other
12480,ZACC to Criminalize Extral Lessons,zacc-to-criminalize-extral-lessons,"[""Zimbabwe"",""US"",""Bulawayo"",""Harare"",""Ministry of Primary and Secondary Education"",""Ministry""]",Politics
12483,Hong Kong city loses spot in top 50 cities,hong-kong-city-loses-spot-in-top-50-cities-1,"[""US"",""Hungarian"",""Budapest"",""Dali"",""Xi'an"",""Hohhot"",""Guiyang"",""Harbin"",""Midland Realty"",""Colliers International"",""Asia"",""Rating and Valuation Department"",""China"",""Buggle Lau Kai fai"",""CK Lau"",""Athens"",""Centaline"",""Hong Kong"",""Las Vegas"",""Berlin"",""Ricacorp Properties"",""Cambodian"",""Hurun"",""Phnom Penh"",""Wuhan"",""Shanghai"",""Chinese"",""San Jose""]",Other
12484,State ends talk on evacuation of Kenyans in China,state-ends-talk-on-evacuation-of-kenyans-in-china,"[""Wuhan"",""Kenyan"",""WhatsApp"",""Kenya"",""Cyrus Oguna"",""Mr Oguna""]",Health
12485,Tuskys announces mass layoffs,tuskys-announces-mass-layoffs-1,"[""the Kenya Union of Commercial  Food and Allied Workers"",""Tuskys"",""Nakuru"",""Kenya"",""Uganda"",""the Nairobi Labour Office"",""KUCFAW"",""Tusker Mattresses Limited""]",Business
12486,Human rights: Stella Nyanzi marks release from jail in Uganda with Yoweri Museveni warning,human-rights-stella-nyanzi-marks-release-from-jail-in-uganda-with-yoweri-museveni-warning,"[""Henry Peter Adonyo"",""Uganda"",""National Resistance Movement"",""Facebook"",""Rosebell Kagumire"",""Mwafrika Mbarikiwa Nana"",""Museveni"",""Nyanzi"",""Luzira"",""NRM"",""Kampala"",""Ugandan"",""Yoweri Museveni"",""Stella Nyanzi""]",Law
12488,Uganda to build $1.4bn hydropower plant on the Nile,uganda-to-build-dollar-1-4-bn-hydropower-plant-on-the-nile,"[""Ayago Hydroelectric Power Station"",""Sinohydro Corporation"",""Karuma"",""Kyoga"",""River Nile"",""State"",""POWERCHINA International Group Limited"",""POWERCHINA International"",""International Group Limited"",""Ayago"",""Chinese"",""Julius Wandera"",""Electricity Regulatory Authority"",""China"",""Uganda"",""Nile"",""US""]",Business
12491,Ugandan refugee commits suicide outside UNHCR in Nairobi due to hunger,ugandan-refugee-commits-suicide-outside-unhcr-in-nairobi-due-to-hunger,"[""United Nations High Commission for Refugees"",""Kenya"",""Uganda"",""Ugandan"",""UNHCR"",""Nairobi"",""Westland"",""Mweru"",""UN Refugee Agency""]",Other
12493,Trump “making it EASY” for other countries to do business with US,trump-making-it-easy-for-other-countries-to-do-business-with-us,"[""Donald Trump"",""United States"",""US""]",Business
12495,Family killed in crash near Fort William,family-killed-in-crash-near-fort-william,"[""Ardnamurchan"",""Fort William"",""A82"",""Mini Cooper"",""Ford Fiesta"",""Police Scotland"",""Torlundy"",""Lochaber"",""Kate Forbes"",""Simon Bradshaw"",""Andrew Baxter"",""Skye""]",Other
12496,Otedola hails Dangote’s oil refinery,otedola-hails-dangotes-oil-refinery,"[""Lagos"",""Otedola"",""Femi Ote"",""Femi Otedola"",""Dangote"",""Nigeria"",""Aliko Dangote"",""Dangote Group"",""Africa""]",Business
12498,Eeedris to BURNA BOY: Apologise for stealing from Fela,eeedris-to-burna-boy-apologise-for-stealing-from-fela,"[""Eedris"",""African Giant"",""Afrobeat"",""Fela Anikukapo Kuti"",""Burna Boy"",""TVC"",""Eeedris O BURNA"",""Fela"",""EEDRIS ABDULKAREEM"",""Eedris Abdulkareem"",""Remedies"",""BURNA BOY"",""Grammy Awards"",""World Music"",""Angelique Kidjo"",""BURNA BOYpologise""]",Entertainment
12499,Rep member introduces bill for employment after NYSC,rep-member-introduces-bill-for-employment-after-nysc,"[""Eta M"",""Eta"",""Peoples Democratic Party"",""PDP"",""NYSC"",""Eta Mbora"",""National Youth Service Corps"",""Democratic Party""]",Politics
12500,FG plans to hand Abacha Loot to governor,fg-plans-to-hand-abacha-loot-to-governor,"[""Nigeria"",""TheCable"",""Abubakar Malami"",""APC"",""US"",""Abacha Loot"",""Abubakar Bagudu"",""Kebbi"",""Olusegun Obasanjo""]",Politics
12502,Ex-lecturer jailed for raping admission seeker,ex-lecturer-jailed-for-raping-admission-seeker,"[""Foursquare Gospel Church"",""Ikeja"",""University of Lagos"",""God"",""Akin Baruwa"",""UNILAG"",""Josephine Oyefeso"",""Baruwa Afeez Akin"",""the Surulere Police Station"",""DW"",""Boniface Igbeneghu"",""Ex-lecturer""]",Law
12503,CAN kicks against rehabilitation of B'Haram suspects,can-kicks-against-rehabilitation-of-b-haram-suspects-1,"[""Rehabilitation of Boko Haram"",""Christian Association of Nigeria"",""Boko Haram"",""B Haram""]",Other
12504,You don’t have to go nude to be sexy-Damasus,you-dont-have-to-go-nude-to-be-sexy-damasus,"[""Jeans"",""Best Actress"",""Texas"",""Commonwealth of Zion Assembly"",""Biodun Fatoyinbo"",""ea"",""Nigerian"",""Nollywood"",""Instagram"",""Stella Damasus h"",""Damasus"",""Stella Damasus""]",Entertainment
12505,We are under attacks because of our sins —Sultan,we-are-under-attacks-because-of-our-sins-sultan,"[""Nigeria"",""Sokoto"",""Christianize Nigeria --Sultan of Sokoto"",""God"",""Abuja"",""Holy Bible"",""Holy Quran"",""Idris Musa""]",Politics
12506,Zenith bank posts N208.6bn full year profit,zenith-bank-posts-n-208-6-bn-full-year-profit,"[""General Meeting"",""Zenith Bank"",""Zenith"",""Zenith Bank Plc"",""Nigeria"",""Nigerian Stock Exchange"",""Annual Report"",""Bloomberg"",""Stanbic IBTC"",""NSE"",""PBT"",""DPR"",""AGM"",""EPS""]",Business
12507,76 Ethiopian refugees leave Kenya for home,76-ethiopian-refugees-leave-kenya-for-home,"[""Fathiaa Abdalla"",""Nairobi"",""UNHCR Representative"",""Kenya""]",Other
12508,76 Ethiopian refugees leave Kenya to go home,76-ethiopian-refugees-leave-kenya-to-go-home,"[""Ethiopian"",""Fathiaa Abdalla"",""Kenya"",""Nairobi"",""UNHCR Representative""]",Other
12509,"Pompeo,Taliban announce plan to sign peace deal",pompeo-taliban-announce-plan-to-sign-peace-deal,"[""State"",""U.S."",""Kabul"",""intra-Afghan"",""Pompeo Taliban"",""Mike Pompeo"",""United States"",""Afghanistan"",""National Security Council"",""State Department"",""Doha"",""Qatari"",""U S"",""Pompeo"",""Taliban""]",Politics
12510,Iran votes for new parliament,iran-votes-for-new-parliament,"[""Trump"",""United States"",""Tehran"",""Ali Khamenei"",""Iranians"",""Iran"",""Supreme"",""Rouhani""]",Politics
12511,Suspected cartel figure handed over to U.S.,suspected-cartel-figure-handed-over-to-u-s,"[""Jalisco"",""Mexico"",""the United States"",""U S"",""El Menchito"",""Mexican"",""U.S."",""William P. Barr"",""Dulles International Airport""]",Politics
12513,Kremlin denies Russia is working to re-elect Trump,kremlin-denies-russia-is-working-to-re-elect-trump,"[""Russia"",""Kremlin"",""U.S."",""Trump"",""U S"",""Donald Trump""]",Politics
12514,Trump: Four candidates considered for U.S. intelligence chief,trump-four-candidates-considered-for-u-s-intelligence-chief,"[""United States"",""CIA"",""the United States"",""Twitter"",""Frida"",""U.S."",""Donald Trump"",""U S"",""Trump""]",Politics
12516,"Russia's support for my reelection, misinformation campaign- Trump",russias-support-for-my-reelection-misinformation-campaign-trump,"[""Trump"",""Russia"",""Donald Trump"",""U.S."",""Democrats"",""Twitter""]",Politics
12517,U.S. lawmaker says he's focused on Senate run,u-s-lawmaker-says-hes-focused-on-senate-run,"[""Richard Grenell"",""Georgia"",""Russia"",""U.S."",""Fox Business Network"",""Germany"",""House"",""Joseph Maguire"",""Republican"",""Senate"",""Doug Collins"",""Donald Trump"",""U.S. Senate""]",Politics
12518,Trump promises more trade bailout money for farmers,trump-promises-more-trade-bailout-money-for-farmers,"[""China"",""Trump"",""Donald Trump"",""Canada"",""Mexico"",""Sonny Perdue"",""U.S."",""Beijing"",""USDA"",""The Agriculture Department""]",Food
12520,"Ex-DOH chief, Garin indicted over Dengvaxia-linked deaths",ex-doh-chief-garin-indicted-over-dengvaxia-linked-deaths,"[""Research Institute for Tropical Medicine"",""FDA"",""Department of Health"",""Dengvaxia"",""Neal Bainto"",""Justice"",""Food and Drug Administration"",""Sanofi Pasteur"",""Iloilo"",""Janette Garin"",""Ex DOH"",""ex DOH"",""Health""]",Law
12522,Calida presence sought in Senate hearing,calida-presence-sought-in-senate-hearing,"[""Senate"",""ABS-CBN"",""Calida"",""Supreme Court"",""Jose Calida"",""Grace Poe"",""ABS-CBN Corp"",""Philippines"",""Alan Peter Cayetano"",""House of Representatives"",""the Supreme Court"",""ABS-CBN News""]",Law
12524,"Company fined $230,000 after worker loses three fingers",company-fined-dollar-230-000-after-worker-loses-three-fingers,"[""Kelly""]",Law
12526,Roger Stone has 'very good chance of exoneration- Trump,roger-stone-has-very-good-chance-of-exoneration-trump,"[""NBC News"",""U.S."",""Washington, D.C."",""Democrat"",""Congress"",""Donald Trump"",""Amy Berman Jackson"",""Washington"",""Las Vegas"",""Russia"",""GOP"",""Roger Stone"",""Trump"",""Tomeka Hart""]",Politics
12527,Mom helps rescue driver from massive tanker fire,mom-helps-rescue-driver-from-massive-tanker-fire,"[""Holly McNally s"",""Indiana"",""NICU"",""Mom"",""I-70"",""Interstate 465"",""Indianapolis"",""NBC News"",""Holly Holly McNally"",""Holly McNelly"",""Holly McNally"",""Jeffrey Denman"",""Indianapolis Fire Department"",""Mitch Navarre""]",Other
12528,Teacher suspended for washing out student's mouth,teacher-suspended-for-washing-out-students-mouth,"[""The Palm Beach Post"",""Guyette Duhart"",""Polo Park Middle School"",""Wellington"",""NBC"",""West Palm Beach"",""WPTV"",""Florida"",""NICU"",""Indiana""]",Education/Career
12530,"One killed, 3 injured in shooting at Idaho complex",one-killed-3-injured-in-shooting-at-idaho-complex,"[""Frank Wyant"",""Idaho"",""Canyon County"",""Kieran Donahue sai"",""Kieran Donahue"",""Caldwell"",""Boise""]",Other
12531,"Mother of two missing Idaho children, arrested in Hawaii",mother-of-two-missing-idaho-children-arrested-in-hawaii,"[""Download"",""Rexburg"",""Tylee Ryan"",""Joshua Vallow"",""Police Department"",""Idaho"",""Hawaii"",""Lori Vallow"",""Kaua'i"",""Chad Daybell"",""NBC News""]",Law
12532,Trump scoffs at 'Parasite' for Oscars win,trump-scoffs-at-parasite-for-oscars-win,"[""Trump"",""Oscars"",""Donald Trump"",""Parasite"",""Colorado"",""South Korean"",""Thursda""]",Entertainment
12534,Alessandra Ambrosio shows off her supermodel curves,alessandra-ambrosio-shows-off-her-supermodel-curves,"[""the SRI YANTRA"",""Brazil"",""Victoria's Secret"",""Victoria"",""Alessandra Ambrosio"",""Shri Vidya"",""Sri Yantra"",""Vogue"",""Shri Chakra"",""YANTRA""]",Entertainment
